case_id,symptom,topology_note,show_outputs,expected_fault,osi_layer,concept_tag,severity
CASE_001,PC-1 cannot ping Server-A in VLAN 30; gateway ping works,PC-1 is in VLAN 10 (192.168.10.10/24). Server-A is in VLAN 30 (192.168.30.50/24). Gateway is Router-1.,"Router-1# show ip route\n192.168.10.0/24 is directly connected, GigabitEthernet0/0.10\n192.168.20.0/24 is directly connected, GigabitEthernet0/0.20\nSwitch-1# show interfaces trunk\nPort Mode Encapsulation Status Native vlan\nGi0/1 on 802.1q trunking 1",Missing sub-interface GigabitEthernet0/0.30 for VLAN 30 inter-VLAN routing on Router-1,Layer 3,VLAN,High
CASE_002,PC-2 receives 169.254.x.x IP address via DHCP,PC-2 is connected to Switch-1 Port FastEthernet0/5. DHCP server is on 192.168.1.100.,Switch-1# show ip interface brief\nFa0/5 up up\nRouter-1# show run | section ip dhcp\nip dhcp pool LAN_POOL\n network 192.168.1.0 255.255.255.0\n default-router 192.168.1.1,Missing 'ip helper-address 192.168.1.100' command on the default gateway sub-interface,Layer 7,DHCP,Medium
CASE_003,Guest Wi-Fi users can access confidential internal server at 10.0.0.5,Guest Wi-Fi is on 172.16.10.0/24. Internal Server is on 10.0.0.5/24.,Router-1# show access-lists\nExtended IP access list GUEST_FILTER\n 10 permit ip 172.16.10.0 0.0.0.255 172.16.10.1\n 20 permit ip 172.16.10.0 0.0.0.255 any\nRouter-1# show ip interface Gi0/1\n Inbound access list is not set,Security rule failure: Guest isolation ACL 'GUEST_FILTER' was configured but never applied inbound on interface Gi0/1,Layer 4,ACL,Critical
CASE_004,PC-3 cannot resolve domain names but pinging 8.8.8.8 works,PC-3 assigned static IP 192.168.1.15/24. Local DNS server is 192.168.1.50.,PC-3> ipconfig /all\nIP Address: 192.168.1.15\nSubnet Mask: 255.255.255.0\nDefault Gateway: 192.168.1.1\nDNS Server: 192.168.1.51\nServer-DNS# show ip interface brief\nGi0/0 (192.168.1.50) up up,Incorrect DNS server IP configured on PC-3 (configured with .51 instead of .50),Layer 7,DNS,Low
CASE_005,Branch Office PCs cannot access Internet via HQ Router,Branch Router connects to HQ via ISP link on Gi0/0. Branch subnet is 192.168.50.0/24.,Branch-Router# show ip interface brief\nInterface IP-Address OK? Method Status Protocol\nGi0/0 203.0.113.2 YES manual up down\nGi0/1 192.168.50.1 YES manual up up,Layer 2 line protocol on ISP link Gi0/0 is down due to a speed/duplex mismatch or bad cable,Layer 2,Routing,High
CASE_006,VLAN 20 traffic is leaking into VLAN 1 untagged traffic,Switch-1 and Switch-2 connected via Gi0/1 trunk link.,Switch-1# show interfaces trunk\nPort Mode Encapsulation Status Native vlan\nGi0/1 on 802.1q trunking 20\nSwitch-2# show interfaces trunk\nPort Mode Encapsulation Status Native vlan\nGi0/1 on 802.1q trunking 1,Native VLAN mismatch between Switch-1 (VLAN 20) and Switch-2 (VLAN 1),Layer 2,VLAN,High
CASE_007,PC-4 in VLAN 40 cannot reach default gateway 192.168.40.1,PC-4 connected to Switch-1 Fa0/10. VLAN 40 configured on router.,Switch-1# show mac address-table interface fa0/10\nMac Address Table - VLAN 1\nSwitch-1# show vlan brief\n40 VLAN0040 active,Port Fa0/10 is assigned to VLAN 1 instead of VLAN 40,Layer 2,VLAN,Medium
CASE_008,Trunk link failing to pass VLAN 50 traffic between switches,Switch-1 to Switch-2 trunk link configured on Gi0/2.,"Switch-1# show interfaces trunk\nPort Mode Encapsulation Status Native vlan\nGi0/2 on 802.1q trunking 1\nVlans allowed on trunk: 10,20,30",VLAN 50 is pruned or omitted from the allowed VLAN list on trunk Gi0/2,Layer 2,VLAN,Medium
CASE_009,Switch port Fa0/1 goes down immediately when PC is connected,Port security configured on Switch-1 Fa0/1.,Switch-1# show interface fa0/1\nFastEthernet0/1 is err-disabled\nSwitch-1# show port-security interface fa0/1\nPort Status : Secure-shutdown\nTotal MAC Addresses : 1\nSticky MAC Addresses : 0,Port security violation triggered err-disable status due to unapproved MAC address,Layer 2,VLAN,High
CASE_010,Router interface shows up/down and cannot route traffic,Serial interface link between Router-A and Router-B.,"Router-A# show interface serial0/0/0\nSerial0/0/0 is up, line protocol is down\nEncapsulation HDLC",Line protocol down due to encapsulation mismatch (HDLC on Router-A vs PPP on Router-B),Layer 2,VLAN,High
CASE_011,PC-5 cannot obtain an IP address from DHCP server,DHCP pool on Router-1 for 192.168.10.0/24 subnet.,"Router-1# show ip dhcp binding\nBindings: 254 (Pool limit reached)\nRouter-1# show ip dhcp pool LAN_10\nPool LAN_10 : Total addresses 254, Leased 254",DHCP address pool exhaustion (no available IP addresses left in scope),Layer 7,DHCP,High
CASE_012,PCs get IP addresses but cannot access outside network,DHCP pool configured on Router-1.,Router-1# show run | section ip dhcp\nip dhcp pool OFFICE\n network 10.1.1.0 255.255.255.0\n dns-server 8.8.8.8,Default gateway option missing in DHCP pool scope definition,Layer 7,DHCP,High
CASE_013,Static IP device conflicts with DHCP assigned address 192.168.1.10,Printer assigned static IP 192.168.1.10. DHCP pool starts at 192.168.1.1.,Router-1# show run | section ip dhcp\nip dhcp pool MAIN\n network 192.168.1.0 255.255.255.0\n(Note: no ip dhcp excluded-address configured),Failure to exclude static IP range (192.168.1.1-10) from DHCP pool,Layer 7,DHCP,Medium
CASE_014,Client gets wrong subnet mask 255.255.255.128 instead of /24,DHCP server servicing 192.168.50.0 network.,Router-1# show run | section ip dhcp\nip dhcp pool DATA\n network 192.168.50.0 255.255.255.128,Incorrect subnet mask configured in DHCP pool network statement,Layer 7,DHCP,Medium
CASE_015,Wireless client fails to obtain IP via DHCP,Access Point connected to Switch-1 Fa0/12.,Switch-1# show run interface fa0/12\ninterface FastEthernet0/12\n switchport mode access\n switchport access vlan 99\n(Note: AP management is VLAN 10),AP switchport configured in wrong VLAN preventing DHCP discovery reaching AP,Layer 7,DHCP,High
CASE_016,Host A cannot resolve server.lab name but can ping server IP,DNS server running on Windows Server at 192.168.1.10.,Server# show services\nDNS Service: Disabled\nHost-A> nslookup server.lab\n*** Request to 192.168.1.10 timed out,DNS service is stopped/disabled on the target DNS server,Layer 7,DNS,Low
CASE_017,External domain resolution fails for all internal clients,Internal DNS server forwards requests to 8.8.4.4.,Router-1# show access-lists\nExtended IP access list OUTBOUND\n 10 deny udp any any eq 53\n 20 permit ip any any,Outbound ACL blocking UDP port 53 traffic to external DNS forwarders,Layer 7,DNS,High
CASE_018,DNS lookup returns wrong IP address for internal web app,Web server updated IP address from 10.0.0.10 to 10.0.0.20.,Host-A> nslookup web.corp.local\nName: web.corp.local\nAddress: 10.0.0.10,Stale A-record on DNS server pointing to old IP address,Layer 7,DNS,Medium
CASE_019,Domain resolution fails due to incorrect search domain,Client attempting to query short name 'appserver'.,PC-1> ipconfig /all\nPrimary DNS Suffix: wrongdomain.com\nDNS Server: 10.0.0.2,Incorrect DNS domain suffix search list configured on client PC,Layer 7,DNS,Low
CASE_020,Web browser times out when opening internal hostnames,DNS Server running on Dual-homed server.,Server# show ip interface brief\nGi0/0 192.168.1.2 up up\nGi0/1 10.0.0.2 down down\n(DNS binding set to Gi0/1),DNS server process bound to down network interface,Layer 7,DNS,Medium
CASE_021,Router-1 cannot reach Subnet 172.16.2.0/24 behind Router-2,Static routing environment between Router-1 and Router-2.,Router-1# show ip route\nS* 0.0.0.0/0 [1/0] via 203.0.113.1\n10.0.0.0/8 is directly connected\n(Note: no route for 172.16.2.0/24),Missing static route or default route pointing to Router-2,Layer 3,Routing,High
CASE_022,OSPF neighbors fail to establish adjacency between R1 and R2,R1 and R2 connected via GigabitEthernet0/0.,"R1# show ip ospf interface gi0/0\nProcess ID 1, Area 0\nR2# show ip ospf interface gi0/0\nProcess ID 1, Area 1",OSPF Area ID mismatch between R1 (Area 0) and R2 (Area 1),Layer 3,Routing,High
